Name	Order	Line	Rel	 Part	Desc	Order Date	OrderQty	Job Num	Start Date	"MFG
Complete"	ShipBy	Max Op	Op Desc	ActiveOp	Op Desc	Last Labor Date	Op Start Date	"Open 
Value"	Credit Hold	Credit OvRd	Order Held
Full Cycle Waste Recovery	9428587	1	1	9426587-1	Inspect & Repair Drum	5/16/25	1	9428587-1-1	5/19/25	5/18/25	5/19/25			5	Assemble -Per Print (Heavy)		5/19/25	0.00	X	X	
Press Automation	9428558	1	1	BE1040-240000	BELT E8/2 UO/U4 GSTR 5.625 x 240.00 SLPC FOR S/O 9370313-1	5/15/25	1	9428558-1-1	5/19/25	5/19/25	5/20/25			10	Belt - Cut / Assemble			688.50	X	X	
Press Automation	9428558	2	1	BE1040-155000	"BELT 5.625""E8/2 UO/U4GSTR     
SLPC"	5/15/25	1	9428558-2-1	5/19/25	5/19/25	5/20/25			10	Belt - Cut / Assemble			588.60	X	X	
LyondellBasell	9428591	1	1	PIM-3-NE-F	PIM W/ 3" FITTINGS, FOOD GRADE	5/16/25	1	9428591-1-1	5/22/25	5/20/25	5/21/25			10	Issue -Components			6753.00	X	X	
Milacron LLC	9425796	1	1	118184-SF	"FF4800PLS                     
STD 8"" HOUSING WITH SLIDEGATE"	2/25/25	1	9425796-1-1	5/22/25	5/21/25	5/22/25	60	FF Production Work Cell	70	Shipping - Light	5/22/25		1044.93	X	X	
Milacron LLC	9426302	1	1	118184-SF	"FF4800PLS                     
STD 8"" HOUSING WITH SLIDEGATE"	3/11/25	2	9426302-1-1	5/19/25	5/21/25	5/22/25	50	Water-jet Cut Part Per Print	60	FF Production Work Cell	5/19/25	5/20/25	2089.86	X	X	
ADM Agri-Industries Company	9426876	1	1	CFM-5-NE-SC-F	CENTER FLOW MAG  MAN SELF CLEAN  *FOOD GRADE*	3/27/25	2	9426876-1-1		5/5/25	5/22/25	140	Shipping - Light					20822.00			
INOAC Exterior Systems	9427495	1	1	9427495-1	FF8-SF-D  2" Dump Tube  Flanges same as stock	4/14/25	1	9427495-1-1	5/20/25	5/21/25	5/22/25	40	Form -Part Per Print (Trumpf)	50	FF Production Work Cell	5/20/25	5/20/25	1415.00	X	X	
C.E.M. Corp.	9427541	1	1	930511-1	NEB3594 SPECIAL MAGNETIZATION	4/15/25	125	9427541-1-1	5/21/25	5/20/25	5/22/25	20	Inspect -Final	30	Shipping - Light	5/13/25	5/13/25	3937.50			
J L Clark	9428028	1	1	PMN5008TMXU	Plate Magnet	4/30/25	1	9428028-1-1	5/22/25	5/21/25	5/22/25	90	Assemble -Per Print (Heavy)	100	Shipping - Light	5/21/25		2573.00	X	X	
Vismec America Inc	9428190	1	1	9428190-1	LOW PROFILE DRAWER MAGNET	5/6/25	2	9428190-1-1	5/16/25	5/21/25	5/22/25	30	Form -Part Per Print (Trumpf)	20	Laser Cut - Part Per Print	5/21/25	5/21/25	2159.00			
Clasen Quality Chocolate	9428321	1	1	9378555-1-R1	Rework estimate/order for RMA 7962	5/8/25	1	9428321-1-1	5/14/25	5/21/25	5/22/25	10	Inspect -Receiving	20	Engineering - Inspection	5/13/25		0.00			
Variform Inc	9428335	1	1	9305269-1-SF	FF8-SF-P	5/8/25	2	9428335-1-1	5/19/25	5/21/25	5/22/25	30	Form -Part Per Print (Trumpf)	40	FF Production Work Cell	5/20/25	5/20/25	2858.00	X	X	
Tempel Steel Company	9428563	1	1	BE1040-72000	BELT E8/2 UO/U4 GSTR 5.625 SLPC	5/15/25	1	9428563-1-1	5/19/25	5/21/25	5/22/25			10	Belt - Cut / Assemble			355.00	X	X	
Scott Pro	9423000	1	1	PMN5018TMXF	Plate Magnet	11/26/24	1	9423000-1-1	5/23/25	5/22/25	5/23/25	90	Assemble -Per Print (Heavy)	100	Shipping - Light	5/21/25		5240.00	X	X	
Scott Pro	9423000	2	1	PMN5010TMXF	Plate Magnet	11/26/24	1	9423000-2-1	5/23/25	5/22/25	5/23/25	90	Assemble -Per Print (Heavy)	100	Shipping - Light	5/21/25		3214.00	X	X	
Scott Pro	9423000	3	1	PMN5012TMXF	Plate Magnet	11/26/24	1	9423000-3-1	5/23/25	5/22/25	5/23/25	90	Assemble -Per Print (Heavy)	100	Shipping - Light	5/21/25		3699.00	X	X	
Prab, Inc.	9423381	1	1	9423381-1	Dual Drum Separator System	12/9/24	1	9423381-1-1	5/7/25	5/19/25	5/23/25	100	Paint -Part	50	Tap -Part Per Print	5/19/25		41668.70	X	X	
Thortsen Magnetics Co.	9423419	1	1	9423419-1	CUSTOM MAGNETIC CONE ASSY	12/10/24	1	9423419-1-1	4/7/25	5/13/25	5/23/25	70	Bead Blast -Part	30	Tig Weld - Part Per Print	5/15/25	4/9/25	16639.20	X	X	
Whirlpool Corporation	9425962	1	1	9425962-1	MSL 06-6-AR4	2/28/25	1	9425962-1-1	5/6/25	5/18/25	5/23/25	90	Paint -Part	30	Tap -Part Per Print	5/14/25		5850.00	X	X	
CSI Closures	9426365	1	1	9426365-1	MD Quicktron 05 A 50mm on Duplex Stand w/FF4-SF	3/12/25	1	9426365-1-1	5/21/25	5/20/25	5/23/25	90	Paint -Part	100	Assemble -Per Print (Heavy)	5/21/25		13065.00	X	X	
Stolle Machinery Co LLC	9426824	1	1	STS-D-A-NA-51-AAEG-SAEF-AX	C.PCRU39-15.500X007.000-.037	3/26/25	9	9426824-1-1	5/5/25	5/22/25	5/23/25	50	Assemble -Cells In Cavity	60	Grind -Od To .020 Oversize(Sh)	5/14/25	5/15/25	18306.00			
Martin De Jesus Soriano (Tecnnova Industrial )	9427383	1	1	PMC3020FMNU	Plate Magnet	4/10/25	1	9427383-1-1	5/19/25	5/22/25	5/23/25	50	Assembly-Magnetize/Assemble	60	Tig Weld - Part Per Print	5/12/25	5/22/25	1064.00	X	X	
Axis Pipe & Tube Co.	9427882	1	1	82-ZH036009	MAGNETIC ASSY	4/25/25	28	9427882-1-1	5/21/25	5/22/25	5/23/25	40	QT-15 - Turn Part Per Print	20	Deburr -Part 2	5/13/25	5/21/25	16100.00	X	X	
Axis Pipe & Tube Co.	9427882	2	1	82-ZH000043	TAKE-UP ROD	4/25/25	2	9427882-2-1	5/23/25	5/22/25	5/23/25	20	Mill/Drill - Part PP, Willis	30	Shipping - Light	5/21/25		384.00	X	X	
Axis Pipe & Tube Co.	9427882	3	1	CH2060D3-12-718750	CHAIN	4/25/25	2	9427882-3-1	5/23/25	5/22/25	5/23/25	10	Assemble -Per Print (Heavy)	20	Shipping - Light	5/19/25		4926.00	X	X	
WESCO Distribution Inc - Branch 5795	9427932	1	1	BM901AT	BM901AT Ceramic Magnetic T-Rail - 12" long	4/28/25	1	9427932-1-1	5/22/25	5/22/25	5/23/25	90	Assemble -Per Print (Heavy)	100	Shipping - Light	5/21/25		414.00	X	X	
Thortsen Magnetics Co.	9427963	1	1	43-41232	DS-1224-CR CUSTOM DRUM SEPARATOR (946982-3)	4/29/25	1	9427963-1-1	5/12/25	5/19/25	5/23/25	110	Assembly-Magnetize/Assemble	40	Mill/Drill -Part Per Print(Pl)	5/21/25		7935.20	X	X	
Integrated Shredder Technology LLC	9428055	1	1	50-12090	SSSP-12 DIA 78 IN EFF Repair	5/1/25	1			5/22/25	5/23/25							0.00	X	X	
