Product Group	BudgetAmnt	ShipAmnt	ShipNotInviced	MonthTotal
Aggregate, Mining & Minerals	175121.650	17204.000	0.0000000000	17204.000
General Separation	693133.120	317188.500	43905.9000000000	734107.550
Metal Detection Service	113109.760	46615.000	626.0000000000	108899.000
MH-Recycling	654071.450	570029.900	688.5000000000	780615.487
MH-Metal Stamping	295441.460	181860.100	4829.0000000000	239359.100
Miscellaneous	0.000	0.000	0.0000000000	0.000
Mfd Metal Detectors	151220.820	46892.000	0.0000000000	59957.000
Mfd Magnets Newton	16797.020	635.200	3937.5000000000	4572.700
Purchased Metal Detectors	196916.030	77540.700	70261.8500000000	189162.650
Printing Products - Bunting	424566.120	123468.250	0.0000000000	254541.650
Printing Products TDW	424566.120	190453.500	140206.0000000000	480631.600
Plastic Separation	237177.440	142092.920	11458.2470000000	208056.717
Spare Parts	192283.440	92466.630	2087.6000000000	239145.130
